date,pm25,pm10,o3,no2,so2,co
2026/1/1, 142, , , 9, 3, 6
2026/1/2, 87, , , 11, 2, 6
2026/1/3, 88, , , 10, 2, 6
2026/1/4, 92, , , 16, 3, 10
2026/1/5, 132, , , 9, 2, 7
2026/1/6, 98, , , 6, 4, 3
2026/1/7, 82, , , 12, 4, 3
2026/1/8, 103, , , 28, 4, 18
2026/1/9, 189, , , 16, 3, 12
2026/1/10, 127, , , 6, 3, 2
2026/1/11, 78, , , 14, 3, 6
2026/1/12, 109, , , 20, 4, 14
2026/1/13, 165, , , 23, 5, 26
2026/1/14, 208, , , 19, 5, 19
2026/1/15, 181, , , 9, 3, 9
2026/1/16, 129, , , 6, 2, 2
2026/1/17, 80, , , 5, 2, 
2026/1/18, 73, , , 12, 2, 2
2026/1/19, 110, , , 15, 4, 7
2026/1/20, 167, , , , , 
2025/10/1, 67, 10, , 12, 2, 4
2025/10/2, 37, 6, , 9, 2, 
2025/10/3, 24, 24, , 6, 2, 4
2025/10/4, 66, 41, , 10, 3, 13
2025/10/5, 98, 21, , 8, 2, 4
2025/10/6, 65, 25, , 9, 3, 2
2025/10/7, 65, 28, , 8, 3, 4
2025/10/8, 77, 30, , 10, 5, 3
2025/10/9, 69, 39, , 16, 3, 5
2025/10/10, 92, 22, , 8, 3, 3
2025/10/11, 62, 28, , 10, 3, 2
2025/10/12, 67, 40, , 14, 4, 6
2025/10/13, 91, 45, , 13, 3, 4
2025/10/14, 97, 44, , 11, 3, 4
2025/10/15, 99, 40, , 12, 2, 5
2025/10/16, 93, 25, , 11, 3, 3
2025/10/17, 67, 30, , 11, 2, 4
2025/10/18, 82, 34, , 11, 2, 4
2025/10/19, 82, 43, , 12, 3, 5
2025/10/20, 97, 35, , 12, 3, 
2025/10/21, 75, 48, , 16, 3, 9
2025/10/22, 96, 45, , 9, 2, 7
2025/10/23, 90, 25, , 18, 3, 6
2025/10/24, 53, 57, , 11, 2, 7
2025/10/25, 107, 31, 18, 11, 2, 4
2025/10/26, 92, 29, , 10, 2, 3
2025/10/27, 65, 37, , 13, 2, 7
2025/10/28, 88, 59, , 18, 3, 8
2025/10/29, 107, 67, , 20, 4, 11
2025/10/30, 112, 61, , 17, 3, 10
2025/10/31, 118, 61, , 15, 3, 9
2025/11/1, 118, 55, , 14, 3, 9
2025/11/2, 116, 35, , 13, 4, 4
2025/11/3, 71, 23, , 9, 2, 3
2025/11/4, 50, 41, , 9, 2, 4
2025/11/5, 89, 27, , 11, 2, 6
2025/11/6, 68, 28, , 17, 2, 8
2025/11/7, 80, 46, , 12, 2, 7
2025/11/8, 111, 58, , 11, 3, 7
2025/11/9, 132, 23, , 7, 3, 3
2025/11/10, 66, 35, , 10, 2, 3
2025/11/11, 86, 68, , 17, 3, 16
2025/11/12, 141, 74, , 21, 3, 16
2025/11/13, 137, 82, , 23, 4, 13
2025/11/14, 149, 83, , 11, 3, 9
2025/11/15, 153, 93, , 17, 4, 21
2025/11/16, 169, 139, , 16, 5, 11
2025/11/17, 146, 22, , 9, 2, 3
2025/11/18, 68, 32, , 13, 2, 6
2025/11/19, 96, 63, , 24, 4, 14
2025/11/20, 129, 27, , 7, 3, 3
2025/11/21, 65, 16, , 5, 2, 2
2025/11/22, 57, 20, , 5, 2, 2
2025/11/23, 61, 71, , 12, 3, 4
2025/11/24, 123, 42, , 15, 3, 4
2025/11/25, 73, 35, , 20, 3, 8
2025/11/26, 88, 11, , 8, 2, 3
2025/11/27, 44, 57, , 12, 2, 4
2025/11/28, 114, 44, , 9, 2, 3
2025/11/29, 109, 40, , 10, 2, 4
2025/11/30, 115, 71, , 18, 2, 12
2025/12/1, 153, 94, , 10, 3, 17
2025/12/2, 185, 88, , , , 
2025/12/3, 180, , , , , 
2025/12/5, 70, , , 6, 2, 1
2025/12/6, 19, , , 7, 2, 2
2025/12/7, 47, , , 10, 4, 6
2025/12/8, 104, , , 14, 2, 13
2025/12/9, 167, , , 16, 3, 16
2025/12/10, 174, , , 16, 4, 7
2025/12/11, 157, , , 11, 3, 3
2025/12/12, 105, , , 11, 4, 2
2025/12/13, 98, , , 9, 2, 1
2025/12/14, 113, , , 8, 3, 1
2025/12/15, 165, , , 7, 3, 
2025/12/16, 199, , , 26, 6, 34
2025/12/17, 209, , , 21, 5, 22
2025/12/18, 191, , , 18, 4, 14
2025/12/19, 180, , , , , 
2025/12/21, 116, , , 8, 2, 8
2025/12/22, 101, , , 10, 2, 14
2025/12/23, 141, , , 6, 2, 7
2025/12/24, 53, , , 7, 2, 
2025/12/25, 32, , , 8, 4, 
2025/12/26, 86, , , 10, 9, 4
2025/12/27, 106, , , 9, 3, 3
2025/12/28, 91, , , , , 
2025/7/1, 38, 25, , 9, 3, 4
2025/7/2, 37, 19, , 14, 2, 5
2025/7/3, 32, 24, , 12, 4, 5
2025/7/4, 37, 27, , 7, 4, 5
2025/7/5, 50, 23, , 4, 3, 5
2025/7/6, 51, 37, , 7, 3, 5
2025/7/7, 59, 40, , 7, 2, 1
2025/7/8, 59, 11, , 6, 3, 1
2025/7/9, 37, 13, , 8, 2, 1
2025/7/10, 34, 13, , 10, 3, 1
2025/7/11, 36, 14, , 10, 2, 1
2025/7/12, 39, 17, , 9, 2, 1
2025/7/13, 44, 18, , 13, 3, 1
2025/7/14, 42, 16, , 11, 2, 1
2025/7/15, 40, 16, , 10, 4, 1
2025/7/16, 44, 19, , 8, 2, 1
2025/7/17, 44, 16, , 7, 2, 1
2025/7/18, 42, 13, , 11, 3, 1
2025/7/19, 36, 13, , 9, 2, 2
2025/7/20, 35, 17, , 11, 3, 2
2025/7/21, 41, 18, , 12, 3, 1
2025/7/22, 37, 14, , 13, 4, 2
2025/7/23, 25, 19, , 13, 3, 2
2025/7/24, 42, 27, , 13, 3, 2
2025/7/25, 56, 29, , 15, 2, 2
2025/7/26, 53, 22, , 5, 3, 2
2025/7/27, 61, 13, , 8, 5, 1
2025/7/28, 40, 18, , 9, 2, 2
2025/7/29, 59, 16, , 7, 3, 1
2025/7/30, 54, 16, , 8, 3, 2
2025/7/31, 45, 15, , 11, 2, 2
2025/8/1, 35, 12, , 12, 2, 2
2025/8/2, 32, 12, , 6, 3, 2
2025/8/3, 32, 17, , 6, 3, 2
2025/8/4, 55, 18, , 8, 2, 2
2025/8/5, 52, 18, , 11, 3, 2
2025/8/6, 45, 16, , 6, 3, 2
2025/8/7, 28, 18, , , , 
2025/8/8, 41, 15, , 9, 2, 1
2025/8/9, 36, 16, , 7, 2, 2
2025/8/10, 38, 24, , 9, 3, 2
2025/8/11, 49, 22, , 10, 2, 2
2025/8/12, 42, 17, , 10, 2, 2
2025/8/13, 42, 13, , 9, 2, 2
2025/8/14, 30, 14, , 11, 2, 2
2025/8/15, 26, 16, , 12, 2, 2
2025/8/16, 36, 13, , 7, 2, 2
2025/8/17, 37, 19, , 8, 2, 2
2025/8/18, 55, 14, , 8, 2, 2
2025/8/19, 39, 19, , 9, 2, 2
2025/8/20, 36, 35, , 12, 2, 2
2025/8/21, 52, 21, , 7, 2, 3
2025/8/22, 52, 20, , 5, 2, 2
2025/8/23, 45, 13, , 9, 2, 2
2025/8/24, 29, 15, , 11, 2, 2
2025/8/25, 29, 17, , 11, 2, 2
2025/8/26, 29, 20, , 19, 2, 3
2025/8/27, 35, 17, , 11, 2, 2
2025/8/28, 26, 25, , 10, 4, 3
2025/8/29, 43, 23, , 8, 3, 2
2025/8/30, 37, 8, , 7, 2, 3
2025/8/31, 24, 15, , 11, 2, 3
2025/9/1, 30, 18, , 15, 2, 3
2025/9/2, 34, 19, , 12, 3, 3
2025/9/3, 33, 21, , 9, 2, 3
2025/9/4, 45, 27, , 13, 2, 3
2025/9/5, 46, 24, , 9, 4, 2
2025/9/6, 41, 21, , 9, 4, 3
2025/9/7, 40, 27, , 16, 2, 3
2025/9/8, 50, 33, , 16, 3, 3
2025/9/9, 53, 34, , 16, 2, 3
2025/9/10, 56, 24, , 10, 2, 3
2025/9/11, 49, 21, , 9, 2, 3
2025/9/12, 42, 18, , 8, 2, 3
2025/9/13, 44, 17, , 6, 2, 3
2025/9/14, 35, 21, , 8, 2, 3
2025/9/15, 49, 23, , 15, 2, 3
2025/9/16, 43, 17, , 11, 2, 3
2025/9/17, 29, 20, , 14, 2, 3
2025/9/18, 33, 20, , 10, 2, 3
2025/9/19, 35, 15, , 10, 2, 3
2025/9/20, 30, 16, , 8, 2, 3
2025/9/21, 32, 15, , 9, 2, 3
2025/9/22, 26, 23, , 17, 2, 4
2025/9/23, 33, 29, , 16, 2, 5
2025/9/24, 45, 30, , 11, 2, 4
2025/9/25, 52, 25, , 6, 2, 3
2025/9/26, 41, 18, , 9, 2, 3
2025/9/27, 40, 14, , 8, 2, 3
2025/9/28, 43, 25, , 13, 2, 5
2025/9/29, 68, 34, , 11, 2, 4
2025/9/30, 76, 27, , 12, 3, 4
2025/4/1, 66, 23, , 11, 2, 2
2025/4/2, 52, 29, , 10, 2, 2
2025/4/3, 74, 34, , 9, 2, 3
2025/4/4, 82, 45, , 11, 3, 5
2025/4/5, 101, 19, , 6, 2, 3
2025/4/6, 56, 36, , 11, 2, 3
2025/4/7, 77, 40, , 11, 2, 4
2025/4/8, 94, 48, , 17, 3, 5
2025/4/9, 108, 45, , 14, 3, 5
