date,pm25,pm10,o3,no2,so2,co
2026/1/1, 46, , , 9, 2, 4
2026/1/2, 41, , , 13, 2, 5
2026/1/3, 39, , , 13, 2, 5
2026/1/4, 59, , , 14, 2, 5
2026/1/5, 75, , , 12, 2, 5
2026/1/6, 88, , , 10, 2, 5
2026/1/7, 93, , , 11, 2, 6
2026/1/8, 86, , , 26, 2, 8
2026/1/9, 98, , , 15, 2, 8
2026/1/10, 130, , , 10, 1, 6
2026/1/11, 81, , , 20, 2, 8
2026/1/12, 76, , , 31, 3, 10
2026/1/13, 111, , , 25, 4, 8
2026/1/14, 106, , , 32, 3, 13
2026/1/15, 169, , , 19, 3, 12
2026/1/16, 130, , , 7, 5, 6
2026/1/17, 52, , , 5, 4, 6
2026/1/18, 71, , , 7, 10, 6
2026/1/19, 67, , , 9, 4, 7
2026/1/20, 95, , , , , 
2025/10/1, 50, 14, , 6, 3, 2
2025/10/2, 40, 16, , 13, 3, 3
2025/10/3, 49, 18, , 7, 3, 3
2025/10/4, 57, 12, , 12, 3, 3
2025/10/5, 43, 8, , 9, 2, 3
2025/10/6, 27, 10, , 10, 3, 3
2025/10/7, 31, 18, , 15, 3, 4
2025/10/8, 48, 17, , 11, 3, 4
2025/10/9, 55, 13, , 10, 3, 4
2025/10/10, 37, 12, , 9, 3, 3
2025/10/11, 35, 13, , 11, 2, 4
2025/10/12, 44, 16, , 11, 3, 4
2025/10/13, 52, 22, , 15, 3, 4
2025/10/14, 49, 27, , 21, 3, 5
2025/10/15, 60, 22, , 12, 4, 4
2025/10/16, 61, 31, , 13, 6, 5
2025/10/17, 85, 36, , 16, 4, 5
2025/10/18, 83, 18, , 21, 4, 7
2025/10/19, 42, 24, , 15, 5, 5
2025/10/20, 64, 23, , 10, 6, 5
2025/10/21, 62, 28, , 20, 9, 6
2025/10/22, 67, 29, , 16, 4, 6
2025/10/23, 58, 7, , 21, 2, 5
2025/10/24, 18, 10, , 12, 3, 4
2025/10/25, 23, 8, 4, 12, 2, 4
2025/10/26, 31, 11, , 11, 2, 5
2025/10/27, 29, 12, , 10, 2, 4
2025/10/28, 25, 29, , 24, 4, 7
2025/10/29, 44, 39, , 27, 5, 8
2025/10/30, 61, 31, , 19, 3, 6
2025/10/31, 64, 34, , 17, 4, 6
2025/11/1, 74, 36, , 19, 4, 6
2025/11/2, 76, 22, , 15, 2, 6
2025/11/3, 51, 24, , 13, 2, 5
2025/11/4, 50, 39, , 13, 2, 7
2025/11/5, 85, 24, , 16, 2, 8
2025/11/6, 71, 12, , 9, 1, 5
2025/11/7, 38, 10, , 8, 2, 6
2025/11/8, 37, 18, , 8, 1, 6
2025/11/9, 61, 22, , 11, 1, 6
2025/11/10, 70, 31, , 12, 1, 7
2025/11/11, 82, 35, , 16, 1, 7
2025/11/12, 89, 40, , 17, 3, 9
2025/11/13, 97, 44, , 18, 4, 9
2025/11/14, 100, 59, , 21, 4, 12
2025/11/15, 117, 60, , 26, 6, 9
2025/11/16, 86, 45, , 11, 4, 6
2025/11/17, 65, 19, , , , 
2025/11/18, 50, 20, , 7, 1, 1
2025/11/19, 64, 33, , 17, 5, 3
